location_id,location_type,address,baidu_lat,baidu_lng,city,title,province_state,region,sales_phone,trt_id,country
dc1112382,"['destination charger', 'standard charger']",973花莲县吉安乡知卡宣大道一段36号,23.9414150000,121.5938630000,台湾,花莲森林中民宿,台湾,asia_pacific,0970104081,0,中国大陆
dc1112692,"['destination charger', 'standard charger']",558南投县鹿谷乡竹丰村中湖巷3-5号,23.7317584400,120.7491045000,台湾,田妈妈小半天风味餐坊｜嘉乐的家民宿,台湾,asia_pacific,0966111362,0,中国大陆
dc1115787,"['destination charger', 'standard charger']",334桃园市八德区东勇北路295-1号,24.9653833700,121.3068946000,台湾,7-11森豪门市,台湾,asia_pacific,0966328168,0,中国大陆
dc1115796,"['destination charger', 'standard charger']",424台中市和平区博爱里东关路一段分校巷31号,24.2025206500,121.0086529000,台湾,丽池山水温泉会馆,台湾,asia_pacific,04 2595 1212,0,中国大陆
dc1115802,"['destination charger', 'standard charger']",950台东县台东市新站路15号,22.7984029000,121.1252867000,台湾,马亨亨民宿,台湾,asia_pacific,0921250249,0,中国大陆
dc1116677,"['destination charger', 'standard charger']",950台东县台东市新站路98巷35号,22.7959789100,121.1243255000,台湾,欧拉民宿,台湾,asia_pacific,0921250249,0,中国大陆
dc1116688,"['destination charger', 'standard charger']",546南投县仁爱乡虎門巷100号附1,24.0246171200,121.1633410000,台湾,森之秘汤 温泉民宿,台湾,asia_pacific,00988957788,0,中国大陆
dc1117086,"['destination charger', 'standard charger']",973花莲县吉安乡东海一街168号,23.9645396000,121.5997450000,台湾,波西米亚民宿,台湾,asia_pacific,03 853 1234,0,中国大陆
dc1117091,"['destination charger', 'standard charger']",981花莲县玉里镇大同路228号,23.3329023300,121.3126681000,台湾,山邻山林青年文旅,台湾,asia_pacific,03 888 7228,0,中国大陆
dc1117098,"['destination charger', 'standard charger']",603嘉义县梅山乡瑞峰村七邻坔埔48之3号,23.5536245300,120.6817654000,台湾,绿之恋奇异果民宿,台湾,asia_pacific,0972038489,0,中国大陆
cnsc9750,"['supercharger', 'standard charger']",广东省深圳市龙岗区大鹏街道岭澳社区岭南路67号（地上）,22.6012340000,114.4808570000,深圳,深圳佳兆业KPR超级充电站（V3 | 新国标）,广东,asia_pacific,400 910 0707,18177,中国大陆
cnsc9751,"['supercharger', 'standard charger']",广东省江门市恩平市大槐服务区东区（往广州方向）,22.0756530000,112.2296850000,江门,大槐服务区东区（广州方向）超级充电站（V3 | 新国标）,广东,asia_pacific,400 910 0707,28703,中国大陆
cndc1080236,['destination charger'],云南省曲靖市宣威市普立乡攀枝嘎村委会箐口村游客接待中心,26.4338100000,104.6301900000,曲靖,宣威尼珠河大峡谷游客中心(新国标),云南,asia_pacific, 18801415331,60080,中国大陆
cnsc9752,"['supercharger', 'standard charger']",河南省洛阳市洛龙区开元大道居然之家地面停车场北侧（入口：龙门大道辅路）,34.6273590000,112.4790580000,洛阳,洛阳开元居然之家超级充电站（V3 | 新国标）,河南,asia_pacific,400 910 0707,27509,中国大陆
cnsc9753,"['supercharger', 'standard charger']",广东省深圳市前海合作区梦海大道4008号（地上）,22.5392240000,113.9081320000,深圳,粤港澳青年创业区超级充电站（V3 | 新国标）,广东,asia_pacific,400 910 0707,16230,中国大陆
kunmingjingkai,['service'],云南自由贸易试验区昆明片区经开区出口加工区A6-1-2号（宝泽路41号）2栋,24.9644280000,102.8071890000,昆明,昆明经开特斯拉中心,云南,asia_pacific, 0871-68873505,25759,中国大陆
cnbs152,"['bodyshop', 'body repair center']",四川省成都市新都区三河街道五龙山路169号,30.7833610000,104.1692660000,成都,成都五龙山特斯拉直营钣喷中心,四川,asia_pacific, 028-63213312,0,中国大陆
cndc1083561,['destination charger'],广东省广州市从化区从都大道1号从都国际庄园酒店停车场B029-031，高尔夫停车场007、008,23.6901200000,113.6845400000,广州,广州从都国际庄园酒店目的地充电站(新国标),广东,asia_pacific, 020-310888,58130,中国大陆
cndc509546,['destination charger'],山东省青岛市黄岛区星海湾路818号地面停车场,35.9061800000,120.1233400000,青岛,青岛东方影都融创皇冠假日酒店(新国标),山东,asia_pacific, 0532-86180888,60037,中国大陆
tainandongshanserviceareasupercharger,"['supercharger', 'standard charger']",国道三号 – 东山服务区,23.2846570000,120.3985100000,台湾,台南 - 东山服务区超级充电站,台湾,asia_pacific,0809 007518,0,中国大陆
chiayijhongpusupercharger,"['supercharger', 'standard charger']",606 嘉义县中埔乡阿里山公路,23.4462670000,120.4941460000,台湾,嘉义 - 中埔谷仓超级充电站,台湾,asia_pacific,0809 007518,0,中国大陆
cndc1085690,['destination charger'],安徽省黄山市黟县宏村镇悦榕路1号地下停车场012-015车位,30.0246900000,117.9868600000,黄山,黄山万科黄山文化村（悦榕庄三期）(新国标),安徽,asia_pacific, 0559-2718666/0559-2718999,58132,中国大陆
cnsc9754,"['supercharger', 'standard charger']",上海市黄浦区广东路500号世界贸易大厦地下停车场B1层A区A069-A071（入口：湖北路）,31.2384400000,121.4886820000,上海,上海世界贸易大厦超级充电站（V3 | 新国标）,上海,asia_pacific,400 910 0707,26124,中国大陆
cnsc9755,"['supercharger', 'standard charger']",湖北省武汉市汉阳区龙阳大道人信汇（汉阳店）地下停车场A馆B2层（入口：龙兴西街）,30.5560130000,114.2105140000,武汉,武汉人信汇超级充电站（V3 | 新国标）,湖北,asia_pacific,400 910 0707,28362,中国大陆
