name,site,lat,lng,areaShopTell,areaShopCity,areaShopCityCode,areaShopProvince,areaShopProvinceCode,shopServiceCategory,storeName
庐州意库店合肥,合瓦路199号招商庐州意库项目6栋601,31.90,117.28,18326605812,合肥市,340100,安徽省,340000,"1,2",体验中心
正大广场店合肥,经开区正大广场1022K铺位,31.781349,117.228912,18056886938,合肥市,340100,安徽省,340000,"1,2",体验中心
肥西旭辉店合肥,经济开发区派河大道与翡翠路交口旭辉Cmall1F-039号,31.73759283260562,117.15956447838347,15955175699,合肥市,340100,安徽省,340000,"1,2",体验中心
绿地大融城店合肥,南二环与宿松路交口合肥绿地大融城一层101-1号商铺,31.813617780756488,117.26815951129545,15056009592,合肥市,340100,安徽省,340000,"1,2",体验中心
芙蓉路店合肥,合肥市包河区延安路669号,31.78,117.32,null,合肥市,340100,安徽省,340000,"4,5",服务中心
天智路店合肥,天智路53号,31.8503,117.21017,,合肥市,340100,安徽省,340000,"4,5",服务中心
云岩万达店贵阳,北京西路与数博大道交叉路口万达广场,26.593185,106.650263,0851-85901772,贵阳市,520100,贵州省,520000,"1,2",零跑中心
印象城店贵阳,茶园路街道北京西路与金阳南路交叉口印象城购物中心L117号,26.600759319437927,106.61860041613556,13398518678,贵阳市,520100,贵州省,520000,"1,2",体验中心
新添大道北店贵阳,新添大道北段2号,26.62,106.75,null,贵阳市,520100,贵州省,520000,"4,5",服务中心
白云大道店贵阳,白云大道224号,26.610914,106.660090,,贵阳市,520100,贵州省,520000,"4,5",服务中心
碧水路店吕梁,吕梁市离石区高速西口零跑汽车,37.504245,111.121896,18035881121,吕梁市,141100,山西省,140000,"1,3,2,4,5",零跑中心
大学城融创茂店重庆,西林大道84号融创茂1019铺,29.626087,106.359894,15826061663,重庆市,500100,重庆,500000,"1,2",体验中心
龙湖公园天街店重庆,重庆市渝北区仙桃街道秋成大道158龙湖重庆公园天街A馆B1-15号,29.72,106.57,18580001987,重庆市,500100,重庆,500000,"2,1",体验中心
悦荟购物中心店重庆,重庆市江北区红石路311号附2号UG层,29.57,106.50,,重庆市,500100,重庆,500000,"2,1",体验中心
U城天街店重庆,高新区虎溪街道大学城北路97号U城天街B馆南8馆-1F-28,29.61,106.29,15086972660,重庆市,500100,重庆,500000,"1,2",体验中心
礼嘉天街店重庆,"礼慈路14-15号龙湖礼嘉天街A 馆-1F-17a,A 馆-1F-18c",29.670281,106.492165,17783371121,重庆市,500100,重庆,500000,"1,2",体验中心
北城天街店重庆,北城天街A馆-2F-041\042,29.577503,106.533302,023-67603678,重庆市,500100,重庆,500000,"1,2",体验中心
金菱车世界店重庆,经开区白鹤路工业园区1号联合厂房附13号,29.510604,106.5616,023-62318777,重庆市,500100,重庆,500000,"1,2",体验中心
时代天街店重庆,长江二路174号时代天街B馆1楼05号店铺,29.538159,106.512214,023-63631883,重庆市,500100,重庆,500000,"1,2",体验中心
爱琴海店重庆,重庆市渝北区金开大道1003号附27号爱琴海购物公园,29.641895,106.548538,023-67038656,重庆市,500100,重庆,500000,"1,2",体验中心
爱融荟城店重庆,重庆爱融荟城LG-45铺位,29.60,106.50,13271818587,重庆市,500100,重庆,500000,"1,2",体验中心
沙坪坝万达广场店重庆,联芳街道经纬大道1108号重庆沙坪坝万达广场1A层1A050号商铺,29.543007,106.474446,19122737068,重庆市,500100,重庆,500000,"1,2",体验中心
龙湖西城天街店重庆,重庆市北部新区红锦大道588号,29.612208,106.523018,023-68190007,重庆市,500100,重庆,500000,"1,2",体验中心
大渡口万达店重庆,建桥大道108号1层商业（1036号）,29.472397,106.479279,19122836831,重庆市,500100,重庆,500000,"1,2",体验中心
金菱车世界店重庆,白鹤路工业园区1号联合厂房附13号,29.510604,106.5616,null,重庆市,500100,重庆,500000,"4,5",服务中心
交付中心金菱车世界店重庆,重庆市南岸区白鹤路工业园区1号联合厂房附13号,29.51,106.56,15826076162,重庆市,500100,重庆,500000,3,合作交付点
金安路店重庆,重庆市两江新区红锦大道588号,29.63,106.54,,重庆市,500100,重庆,500000,"4,5",服务中心
金渝大道店重庆,金渝大道28号,29.66689,106.51042,,重庆市,500100,重庆,500000,"4,5",服务中心
龙华大道店重庆,龙华大道18号,29.596866,106.508355,,重庆市,500100,重庆,500000,"4,5",服务中心
吾悦广场店淮安,生态文旅区凤里路1号淮安吾悦广场1045号商铺,33.553143,119.122865,18082324990,淮安市,320800,江苏省,320000,"1,2",体验中心
韩泰路店淮安,经济开发区韩泰南路5-2号,33.58,119.08,,淮安市,320800,江苏省,320000,"4,5",服务中心
西安北路店淮安,西安北路558号,33.631496,118.993581,null,淮安市,320800,江苏省,320000,"4,5",服务中心
天虹店岳阳,东茅岭路42号天虹广场一楼,29.371877,113.109635,15200271314,岳阳市,430600,湖南省,430000,"1,2",体验中心
安远洋店岳阳,南湖新区湘北大道湘北汽车城中央展厅零跑汽车,29.314663,113.146388,13327309008,岳阳市,430600,湖南省,430000,"1,3,2,4,5",零跑中心
通海北路店岳阳,湖南省岳阳市岳阳楼区经济技术开发区通海北路3号,29.38,113.17,,岳阳市,430600,湖南省,430000,"3,4,5",服务中心
万达广场店菏泽,菏泽市黄河东路1566号,35.258979,115.541146,0530-5117288,菏泽市,371700,山东省,370000,"1,2",体验中心
银座和谐广场店菏泽,菏泽市牡丹区人民路与长城路交叉口东北角银座和谐广场一楼北,35.27403,115.50087,0530-2072276,菏泽市,371700,山东省,370000,"1,2",体验中心
黄河东路店菏泽,山东省菏泽市黄河东路888号零跑汽车售后（万豪国际卡丁车院内）,35.262607,115.553338,,菏泽市,371700,山东省,370000,"5,4",服务中心
中汇汽车园店菏泽,高新区万福街道办事处昆明路2999号中汇国际汽车园内,35.28,115.42,,菏泽市,371700,山东省,370000,"4,5",服务中心
邹城东城购物广场店济宁,山东省济宁市邹城市程兰路东城购物广场百货大楼一层01号商铺,35.41,117.02,15092695095,济宁市,370800,山东省,370000,"2,1",体验中心
建设路万达店济宁,仙营街道建设路110号济宁建设路万达一层1015商铺,35.42613448032377,116.59669949521859,15853161539,济宁市,370800,山东省,370000,"1,2",体验中心
金宇汽配城店济宁,济宁市金宇汽配城中排7号,35.427404,116.543414,13275371930,济宁市,370800,山东省,370000,"1,2",体验中心
济州上城店济宁,观音阁街道五里营路9号济州上城,35.395534,116.620965,13220811085,济宁市,370800,山东省,370000,"1,2",体验中心
东岳汽车园店济宁,济宁市高新区柳行街道重汽东岳国际事业园,35.44609410429693,116.68798406336592,15264785705,济宁市,370800,山东省,370000,"1,2",零跑中心
